V1,V2,V3
SMAD3,VDR,1
HIF1A,MYC,1
E2F4,RB1,1
CREBBP,FOSB,1
CREBBP,JUNB,1
RB1,FOXM1,1
CREBBP,FOXM1,1
HMGA1,POU2F1,1
HMGA1,POU2F2,1
HMGA1,NFKB1,1
USF1,E2F3,1
PPARD,RELA,1
PPARD,HDAC1,1
SIN3A,BCL6,1
SP1,GATA4,1
SP1,GATA6,1
CREBBP,IRF1,1
NCOR1,TAF6,1
NR1D2,HDAC1,1
SMAD2,CREBBP,1
SREBF2,ATF6,1
TRIM28,MYB,1
TRIM28,SIN3A,1
NCOR1,MYB,1
SIN3A,MYB,1
KDM3A,MKL1,1
KDM3A,MKL2,1
SP1,YY1,1
CTBP1,RREB1,1
CTBP1,KDM1A,1
NR3C1,NR2F2,1
RUNX1,SIN3A,1
MTA1,HSF1,1
HSF1,HDAC1,1
HSF1,HDAC2,1
MTA1,TP53,1
CTNNB1,SOX6,1
ESR1,NCOR1,1
FBXW7,KLF5,1
NFKB1,HDAC2,1
TP53,KDM1A,1
SMAD5,HDAC1,1
SMAD4,HDAC1,1
TP53,NR3C1,1
NR4A2,RUNX1,1
TRIM28,E2F1,1
ZBTB7B,SP1,1
HIRA,MEF2D,1
CREBBP,BCL6,1
KLF5,HDAC2,1
JUN,STAT6,1
E2F4,SIN3A,1
SRF,MKL1,1
GABPA,HDAC1,1
KDM5A,HDAC2,1
ESR1,KDM1A,1
CTCF,SMAD3,1
TP73,HDAC2,1
TCF3,VDR,1
TCF3,HDAC2,1
TADA3,NR1I2,1
CTCF,RXRA,1
ATF3,HDAC1,1
PPARG,HDAC1,1
MEF2D,HDAC1,1
MEF2A,HDAC1,1
HMGA1,TP53,1
NFE2L2,YY1,1
JUN,MTA3,1
NFE2L2,MYC,1
JUN,MYC,1
KDM5A,RBPJ,1
TP53,VDR,1
RARA,SPI1,1
KMT2A,AFF1,1
CTNNB1,SATB1,1
EGR1,SP1,1
CEBPB,ATF3,1
BCL3,CTBP1,1
BCL3,KDM1A,1
BACH1,NFE2L2,1
ZEB1,SMAD6,1
ZEB1,SMAD7,1
TADA2A,HDAC1,1
NFYB,HDAC1,1
NFYB,SP1,1
TRIM28,POU5F1,1
TRIM28,CREBBP,1
TRIM25,KLF5,1
IRF5,SIN3A,1
IRF5,HDAC1,1
IRF5,CREBBP,1
SMAD2,ATF3,1
KDM5B,KLF10,1
LEF1,MYB,1
GATA4,HDAC2,1
BHLHE41,HDAC1,1
FOXO3,VDR,1
ESR2,KLF5,1
CTNNB1,NOTCH1,1
SP1,KLF9,1
TRIM28,ZNF274,1
MYC,HDAC2,1
SMAD4,NKX2-5,1
POU5F1,PURB,1
POU5F1,NR2F2,1
TP53,SOX4,1
BCL6,EBF1,1
BCL6,HNF1A,1
